Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1001,999,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
1002,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
1003,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
1004,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
1005,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
1006,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
1007,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
1008,,entrepreneur,divorced,tertiary,yes,,yes,no,unknown,5,may,380,1,-1,0,unknown,no
1009,58,retired,married,primary,no,,yes,no,unknown,5,may,50,1,-1,0,unknown,no
1010,43,technician,single,secondary,no,,yes,no,unknown,5,may,55,1,-1,0,unknown,no
1011,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
1012,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
1013,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
1014,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
1015,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
1016,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
1017,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
1018,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
1019,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
1020,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
1021,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
1022,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
1023,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
1024,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
